Country Name;Country Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Iran, Islamic Rep.;IRN;4,2363E+11;4,93648E+11;5,21549E+11;5,26057E+11;5,28165E+11;5,52186E+11;5,98004E+11;6,16531E+11;6,36428E+11;6,5836E+11;7,1263E+11;7,46107E+11;8,18915E+11;9,07228E+11;9,72026E+11;1,03448E+12;1,1197E+12;1,24383E+12;1,27097E+12;1,2917E+12;1,3832E+12;1,44908E+12;1,29574E+12;1,25061E+12;1,25579E+12;1,13104E+12;1,22142E+12;1,28138E+12;1,27795E+12;1,162E+12;1,23781E+12;1,32258E+12;1,47038E+12;1,60014E+12;1,68865E+12
Bangladesh;BGD;1,05009E+11;1,12344E+11;1,21158E+11;1,29873E+11;1,37806E+11;1,47901E+11;1,57421E+11;1,67325E+11;1,77965E+11;1,88913E+11;2,03418E+11;2,18559E+11;2,30463E+11;2,46152E+11;2,66015E+11;2,92288E+11;3,21404E+11;3,53413E+11;3,81886E+11;4,03626E+11;4,31294E+11;4,68648E+11;5,32554E+11;5,77776E+11;6,27517E+11;6,7136E+11;7,36379E+11;7,91891E+11;8,97768E+11;9,9725E+11;1,10432E+12;1,24756E+12;1,4314E+12;1,56854E+12;1,67432E+12
Viet Nam;VNM;79239968620;86802821208;96456972514;1,06715E+11;1,18627E+11;1,32669E+11;1,47716E+11;1,62513E+11;1,73813E+11;1,84687E+11;2,0169E+11;2,19003E+11;2,36464E+11;2,57768E+11;2,84649E+11;3,15731E+11;3,48178E+11;3,83107E+11;4,12597E+11;4,37551E+11;4,71315E+11;5,11889E+11;5,70789E+11;6,1213E+11;6,68975E+11;7,12101E+11;7,87205E+11;8,72747E+11;9,63333E+11;1,07176E+12;1,13863E+12;1,19206E+12;1,38607E+12;1,50868E+12;1,65473E+12
Pakistan;PAK;2,20145E+11;2,3911E+11;2,63404E+11;2,74388E+11;2,9072E+11;3,11546E+11;3,32625E+11;3,41793E+11;3,54449E+11;3,72622E+11;3,97296E+11;4,21075E+11;4,38714E+11;4,7154E+11;5,22141E+11;5,77698E+11;6,31551E+11;6,77493E+11;7,05189E+11;7,34178E+11;7,54259E+11;7,90453E+11;8,40345E+11;8,8101E+11;9,24121E+11;9,7352E+11;1,0194E+12;1,06938E+12;1,12996E+12;1,16267E+12;1,18629E+12;1,28534E+12;1,44277E+12;1,4941E+12;1,57972E+12
Netherlands;NLD;2,86923E+11;3,03861E+11;3,16088E+11;3,27649E+11;3,44555E+11;3,62742E+11;3,81351E+11;4,06744E+11;4,35828E+11;4,63551E+11;5,0783E+11;5,33744E+11;5,58244E+11;5,56378E+11;5,85583E+11;6,1654E+11;6,73735E+11;7,24154E+11;7,68245E+11;7,42805E+11;7,52782E+11;7,84644E+11;7,9843E+11;8,3387E+11;8,39056E+11;8,63434E+11;9,0537E+11;9,59996E+11;1,01355E+12;1,08137E+12;1,09178E+12;1,2023E+12;1,36567E+12;1,39987E+12;1,51545E+12
Nigeria;NGA;1,95857E+11;2,03207E+11;2,17463E+11;2,18087E+11;2,18701E+11;2,23124E+11;2,36742E+11;2,47898E+11;2,57155E+11;2,62317E+11;2,81715E+11;3,05105E+11;3,57343E+11;3,91171E+11;4,38848E+11;4,81749E+11;5,26697E+11;5,76623E+11;6,27489E+11;6,82102E+11;7,45661E+11;8,01441E+11;8,34681E+11;9,00501E+11;9,76359E+11;9,89483E+11;9,81583E+11;1,00065E+12;1,04174E+12;1,12335E+12;1,14567E+12;1,2001E+12;1,32746E+12;1,41457E+12;1,49841E+12
Low income;LIC;2,08658E+11;2,20848E+11;2,26121E+11;2,32173E+11;2,38817E+11;2,55635E+11;2,73018E+11;2,99018E+11;3,16187E+11;3,31797E+11;3,50921E+11;3,74997E+11;4,02119E+11;4,34431E+11;4,71224E+11;5,16776E+11;5,63151E+11;6,12175E+11;6,56009E+11;6,79875E+11;7,3298E+11;7,50556E+11;7,22624E+11;7,69812E+11;8,38416E+11;8,85542E+11;9,41553E+11;9,8135E+11;1,04346E+12;1,11128E+12;1,11743E+12;1,20475E+12;1,33445E+12;1,37684E+12;1,45372E+12
Argentina;ARG;2,34477E+11;2,64546E+11;2,92051E+11;3,2351E+11;3,49701E+11;3,46875E+11;3,72747E+11;4,0993E+11;4,30497E+11;4,21809E+11;4,2796E+11;4,18304E+11;3,78524E+11;4,20108E+11;4,70359E+11;5,28047E+11;5,88134E+11;6,5848E+11;6,98398E+11;6,61116E+11;7,36905E+11;7,97264E+11;8,1922E+11;8,48625E+11;8,38428E+11;8,65156E+11;8,82649E+11;1,0357E+12;1,09004E+12;1,05763E+12;1,012E+12;1,19173E+12;1,34397E+12;1,3699E+12;1,37891E+12
Malaysia;MYS;1,22811E+11;1,39083E+11;1,54892E+11;1,74253E+11;1,94369E+11;2,17949E+11;2,44139E+11;2,66535E+11;2,49695E+11;2,6877E+11;2,99208E+11;3,07529E+11;3,29145E+11;3,55072E+11;3,89354E+11;4,22973E+11;4,60368E+11;5,02624E+11;5,37061E+11;5,32195E+11;5,78658E+11;6,21862E+11;6,71523E+11;6,98863E+11;7,46116E+11;7,66028E+11;8,03828E+11;8,54694E+11;9,14713E+11;9,67568E+11;9,31107E+11;1,0224E+12;1,19235E+12;1,27918E+12;1,37711E+12
Philippines;PHL;1,63923E+11;1,68727E+11;1,73293E+11;1,81271E+11;1,93239E+11;2,06416E+11;2,22513E+11;2,38089E+11;2,39527E+11;2,51046E+11;2,67984E+11;2,82374E+11;2,97418E+11;3,18718E+11;3,48789E+11;3,77505E+11;4,09835E+11;4,48381E+11;4,76875E+11;4,86766E+11;5,28817E+11;5,60551E+11;6,10496E+11;6,50516E+11;6,94071E+11;7,26056E+11;7,87994E+11;8,40501E+11;9,14883E+11;9,88832E+11;9,23367E+11;1,00182E+12;1,15461E+12;1,26218E+12;1,36628E+12
